name,year,imdb_rating,metascore,votes,genre,runtime
Now You See Me,(I) (2013),7.2,50,664340,"Crime, Mystery, Thriller",115
Frozen,(I) (2013),7.4,75,628651,"Animation, Adventure, Comedy",102
Her,(2013),8.0,91,617225,"Drama, Romance, Sci-Fi",126
The Great Gatsby,(2013),7.2,55,549601,"Drama, Romance",143
Oblivion,(I) (2013),7.0,54,529566,"Action, Adventure, Sci-Fi",124
The Conjuring,(2013),7.5,68,512736,"Horror, Mystery, Thriller",112
Pacific Rim,(2013),6.9,65,505491,"Action, Adventure, Sci-Fi",131
Dallas Buyers Club,(2013),7.9,77,491654,"Biography, Drama",117
Star Trek Into Darkness,(2013),7.7,72,485527,"Action, Adventure, Sci-Fi",132
Rush,(I) (2013),8.1,74,482369,"Action, Biography, Drama",123
American Hustle,(2013),7.2,90,481618,"Crime, Drama",138
The Wolverine,(2013),6.7,61,470200,"Action, Sci-Fi",126
Captain Phillips,(2013),7.8,82,464577,"Action, Biography, Crime",134
We're the Millers,(2013),7.0,44,453633,"Comedy, Crime",110
Elysium,(I) (2013),6.6,61,451454,"Action, Drama, Sci-Fi",109
This Is the End,(2013),6.6,67,415931,"Comedy, Fantasy",107
Despicable Me 2,(2013),7.3,62,403525,"Animation, Adventure, Comedy",98
Fast & Furious 6,(2013),7.0,61,397069,"Action, Crime, Thriller",130
Snowpiercer,(2013),7.1,84,364432,"Action, Drama, Sci-Fi",126
Monsters University,(2013),7.2,65,363106,"Animation, Adventure, Comedy",104
About Time,(I) (2013),7.8,55,354642,"Comedy, Drama, Fantasy",123
The Secret Life of Walter Mitty,(2013),7.3,54,320508,"Adventure, Comedy, Drama",114
The Hangover Part III,(2013),5.8,30,317690,"Comedy, Crime",100
Lone Survivor,(2013),7.5,60,290379,"Action, Biography, Drama",121
The World's End,(2013),6.9,81,284712,"Action, Comedy, Sci-Fi",109
Olympus Has Fallen,(2013),6.5,41,279035,"Action, Thriller",119
Kick-Ass 2,(2013),6.5,41,275363,"Action, Comedy, Crime",103
Escape Plan,(2013),6.7,49,245554,"Action, Thriller",115
Ender's Game,(2013),6.6,51,242781,"Action, Adventure, Sci-Fi",114
Don Jon,(2013),6.5,66,241278,"Comedy, Drama, Romance",90
The Lone Ranger,(2013),6.4,37,236549,"Action, Adventure, Western",150
Warm Bodies,(2013),6.8,60,233666,"Comedy, Horror, Romance",98
The Purge,(I) (2013),5.7,41,226564,"Horror, Sci-Fi, Thriller",85
White House Down,(2013),6.3,52,224381,"Action, Drama, Thriller",131
Pain & Gain,(2013),6.4,45,219572,"Action, Comedy, Crime",129
The Croods,(2013),7.2,55,217397,"Animation, Adventure, Comedy",98
Gangster Squad,(2013),6.7,40,217079,"Action, Crime, Drama",113
2 Guns,(2013),6.7,55,213910,"Action, Thriller",109
Oz the Great and Powerful,(2013),6.3,44,209308,"Adventure, Family, Fantasy",130
A Good Day to Die Hard,(2013),5.2,28,209033,"Action, Thriller",98
Hansel & Gretel: Witch Hunters,(2013),6.1,23,208557,"Action, Fantasy, Horror",88
The Internship,(2013),6.3,42,206405,Comedy,119
Blue Jasmine,(2013),7.3,78,204876,"Comedy, Drama",98
After Earth,(2013),4.8,33,202640,"Action, Adventure, Sci-Fi",100
Enemy,(2013),6.9,61,196908,"Drama, Mystery, Thriller",91
Side Effects,(I) (2013),7.1,75,190841,"Crime, Drama, Mystery",106
